bnum	eg	name	description	0.11/0.11_rel_mrna	0.21/0.11_rel_mrna	0.31/0.11_rel_mrna	0.4/0.11_rel_mrna	0.48/0.11_rel_mrna	0.11/0.11_rel_prot	0.21/0.11_rel_prot	0.25/0.11_rel_prot	0.31/0.11_rel_prot	0.4/0.11_rel_prot	0.48/0.11_rel_prot	0.11_abs_mrna	0.21_abs_mrna	0.31_abs_mrna	0.4_abs_mrna	0.48_abs_mrna	0.11_abs_prot	0.21_abs_prot	0.31_abs_prot	0.4_abs_prot	0.48_abs_prot
b3213	eg10404	gltd	gltd glutamate synthase, small subunit	1	3.031433133	2.496661098	2.751083636	3.458148925	1	1.624137945	2.087587663	2.575027462	3.011506674	4.584165607	4.88E+11	2.07E+12	2.20E+12	3.08E+12	4.59E+12	7.89E+15	1.02E+16	9.46E+15	1.06E+16	1.21E+16
b1492	eg12456	gadc	gadc putative glutamate-gaba antiporter	1	0.637280314	0.901250463	0.946057647	1.197478705	1	0.506246021	0.239863383	0.220073705	0.354246059	0.240764941	1.51E+11				4.66E+11	1.33E+15	5.73E+14	5.05E+14		
b1775	eg13487	ydjk																						
b2262	eg11368	menb	menb 1,4-dihydroxy-2-naphthoate synthase	1	0.852634892	1.035264924	1.094293701	1.205807828	1	0.921633293	0.934547908	1.088076529	1.196629408	1.274482436	6.23E+11	7.66E+11			8.66E+11	1.67E+15	3.71E+15	3.34E+15	1.70E+15	3.16E+15
b1126	eg10749	pota	pota spermidine/putrescine abc transporter atp-binding protein	1	0.732042848	1.765405993	1.892115293	2.751083636	1	1.13622832	1.198190695	1.277376948	1.309988723	1.45039094				4.96E+11	8.65E+11	7.80E+14	6.28E+14	6.23E+14	5.03E+14	4.31E+14
b1626	eg13932	ydgk		1		1.404444876	1.424050196																	
b1008	eg13855	rute																						
b0253	eg13339	ykfa																						
b3343	eg12896	yhel	yhel 2-thiolation step of mnm(5)-s(2)u34-trna synthesis	1	1.049716684	1.086734863	1.189207115	1.231144413	1	1.076488111	0.849836166	0.845747699	0.775734874	0.953034452						3.99E+15	2.86E+15	3.79E+15	3.57E+15	2.77E+15
b0685	eg11775	ybfe	ybfe function unknown	1	0.602903914	1.328685814	1.453972517	1.189207115	1	1.303820339	1.118963657	1.299503797	1.268139721	1.34103087							3.74E+15	3.48E+15	1.65E+15	1.64E+15
b2791	eg13171	truc		1	0.554784736	0.926588062	0.965936329	1.189207115																
b1326	eg13906	mpaa	mpaa murein tripeptide hydrolysis, cleaves glutamyl-dap bond	1	0.763129604				1	1.122690002	1.172005035	0.655523394	0.799308154	0.503550657	3.28E+11					9.89E+14	1.39E+15	1.17E+15		
b4345	eg10575	mcrc		1				4.169863043																
b3551	eg10124	bisc	bisc biotin sulfoxide and methionine (s) sulfoxide reductase	1	1.180992661	0.972654947	1.028113827	1.057018041	1	0.836655881	0	0.788150051	1.053377105	1.015900511						8.47E+13	1.24E+15	3.28E+14	1.56E+14	1.24E+15
b1672	eg13957	ydhw																						
b4441	eg31155	glmy		1	0.812252396	0.397768242	0.275476279	0.174342958							2.71E+13	1.18E+13	2.11E+13	2.11E+13	2.21E+13					
b3806	eg10170	cyaa	cyaa adenylate cyclase	1	1.265756594	1.283425898	1.319507911	1.328685814	1		0	1.715641953	1.793874192	2.425624355		1.27E+11							2.47E+14	
b2793	eg12959	syd	syd interacts with secy	1	1.057018041	1.613283518	1.717130873	1.670175839	1	1.021766423	1.334311222	1.335941952	1.254249548	1.46143975						2.78E+15			2.24E+15	3.83E+15
b3191	eg12797	yrbb	yrbb stas domain protein, function unknown	1	1.079228237	1.049716684	0.907519155	0.895025071	1	1.0967834	1.019522021	0.831425355		1.118163773	1.19E+12	2.44E+12	2.33E+12	2.47E+12	3.03E+12		3.93E+15		1.65E+15	8.41E+15
b1973	eg14049	yoda																						
b2035	eg11982	rfc																						
b1198	eg12399	dham	dham multidomain dihydroxyacetone-specific pts protein	1	1.635804117	1.635804117	2.056227653	2.114036081	1	0.972638537	1.137339129	1.264795767	1.881635867	2.80777882						1.78E+15	1.91E+15	1.12E+15	2.10E+15	2.65E+15
b0148	eg12329	hrpb	hrpb rna helicase-like	1	1.214194884	0.979420298	1.049716684	1.101905116																
b3206	eg12147	npr		1	1.079228237	0.946057647	0.986232704	0.77916458																
b3256	eg10276	accc	accc acetyl-coa carboxylase, biotin carboxylase (bc) subunit	1	0.920187651	1.591072968	1.693490625	1.931872658	1	1.077775106	1.208072061	1.180397543	1.239111601	1.310449127						6.41E+15	3.72E+15	4.32E+15	4.14E+15	3.27E+15
b1900	eg10058	arag																						
b0242	eg10768	prob	prob glutamate 5-kinase, proline biosynthesis	1	0.602903914	1.021012126	0.965936329	1	1	1.140381745	1.259397203	1.110396039	1.054234786	1.024771412	3.65E+11		7.88E+11	8.72E+11	1.11E+12	3.06E+15	4.89E+15	3.92E+15	2.58E+15	2.70E+15
b2665	eg12675	ygau	ygau function unknown	1	0.543367431	0.52123288	0.460093825	0.400534939	1	0.695119867	0.456379345	0.368235994	0.268864755	0.14132942	2.83E+12	2.74E+12	2.72E+12	2.63E+12	3.53E+12	1.42E+16	1.29E+16	9.98E+15	5.74E+15	1.20E+16
b0516	eg13623	allc		1	1.042465761	0.864537231	0.806641759																	
b2186	eg12048	yejk	yejk spermidine nucleoid-associated protein, function unknown	1	0.823591017	1.079228237	1.064370182	1.2397077	1	0.98757716	0.967164825	0.911544052	0.850846157	0.883532612	2.69E+11					6.68E+14	1.45E+15	1.76E+15	1.33E+15	2.25E+15
b1942	eg20267	flij		1		0.946057647	1.00695555	0.732042848							5.19E+11		1.13E+12	1.47E+12						
b3276	eg30009	alau																						
b1558	eg12205	cspf		1			2.329467173	3.410539567																
b1298	eg13909	puud	puud gamma-glutamyl-gaba hydrolase, putrescine utilization pathway	1	2.928171392		1.879045498	1.337927555	1	1.327225199	1.997854702	1.967723072	1.535177069	1.206260253	3.91E+11	1.45E+12		1.16E+12	1.07E+12	1.91E+15	5.11E+15	2.55E+15	1.50E+15	2.14E+15
b1088	eg11119	yced	yced function unknown	1	1.101905116	1.257013375	1.356604327		1	1.11717354	1.161762236	1.324892023	1.346998659	1.634584531	2.46E+12	3.63E+12	6.49E+12	7.21E+12		2.58E+15	2.62E+15		9.64E+14	5.22E+15
b1139	eg10535	lit	lit cell death peptidase, expression of t4 late genes	1	2.445280555	2.867910496	3.20427951	4.169863043																
b3867	eg11836	hemn	hemn coproporphyrinogen iii oxidase, oxygen-independent, required for cytochrome b and cytochrome c synthesis during anaerobic growth	1	0.952637998				1	1.052874088	1.173118037	1.165767543	1.282213794	1.36079196						1.12E+15	9.71E+14		1.22E+14	9.48E+14
b2987	eg12883	pitb																						
b2608	eg11153	rimm	rimm factor required for 16s rna processing	1	0.946057647	1.079228237	1.086734863	1.569168196	1	1.128034587	1.247078631	1.163990895	1.129368156	1.078836447	4.82E+12	8.09E+12	9.28E+12	1.36E+13	1.83E+13	8.80E+14	2.41E+15	9.57E+14	3.15E+15	2.57E+15
b1682	eg13964	sufc	sufc abc-atpase complexed with sufb and sufd, cytoplasmic	1	1.328685814	0.926588062	0.907519155	0.946057647	1	0.697430982	0.628664185	0.674782041	0.70282771	0.661041935		4.26E+11			8.73E+11	6.87E+15	5.36E+15	5.10E+15	5.48E+15	3.07E+15
b0582	eg60019																							
b2972	eg12992	pppa																						
b0401	eg12168	brnq		1	0.882702996	0.959264119																		
b3262	eg11498	yhdj																						
b0904	eg11258	foca		1	0.496546248	0.594603558	0.493116352	0.570381858																
b1062	eg10806	pyrc	pyrc dihydroorotase, the third step in pyrimidine biosynthesis	1	0.426317446	1.613283518	1.693490625	1.905275996	1	1.229353092	1.419677894	1.373895215	1.484674952	2.037539301	3.91E+11		1.11E+12	1.39E+12	1.81E+12	5.70E+15	8.90E+15	8.86E+15	8.98E+15	6.70E+15
b0555	eg13635	arrd																						
b0895	eg10233	dmsb		1	0.939522749	0.795536484	0.702222438	0.835087919																
b3678	eg11705	yidj																						
b0476	eg11101	aes		1		0.607097442	0.510506063																	
b0678	eg10633	nagb	nagb glucosamine-6-phosphate deaminase	1	1.283425898	1.086734863	1.035264924	0.946057647	1	0.879586869	0.722000187	0.813015369	0.703980623	0.557326788	3.93E+11	6.75E+11	8.55E+11	1.03E+12	1.19E+12	1.65E+15	2.16E+15	2.20E+15	7.46E+14	2.30E+15
b2916	eg10490	argp	argp arginine and lysine responsive transcriptional regulator	1		1.474269217	1.453972517	1.424050196	1	1.058236111	1.149198259	1.047699944	0.970104775	1.073283644						5.28E+15	3.82E+15	4.77E+15	2.91E+15	4.11E+15
b3390	eg10081	arok	arok shikimate kinase i	1	0.712025098	1.274560627	1.356604327	1.385109468	1	1.072740818	1.164839892	1.226768823	1.382821538	1.757604901	1.27E+12	1.11E+12	3.13E+12	4.24E+12	5.47E+12	7.89E+15	6.58E+15	6.74E+15	6.29E+15	7.52E+15
b4049	eg11932	dusa	dusa trna-dihydrouridine synthase a	1	0.566441943	0.993092495	1.01395948	1.205807828	1	1.10514579	1.179573382	1.085972464	1.130474651	1.222896262						4.62E+14	1.46E+14		5.21E+14	2.28E+14
b3606	eg11888	yibk		1			0.829319546		1	1.332727488	1.331189202	1.518992223	1.632742106	2.439081798						1.31E+15	1.85E+15	1.12E+15	1.03E+15	2.69E+15
b4443	eg31129	gcvb		1	2.602683711	2.907945035	3.031433133	4.993322196																
b4678	eg14483	yoei																						
b3464	eg10346	ftsy	ftsy signal recognition particle (srp) receptor	1	0.795536484	1.079228237	1.101905116	1.132883885	1	0.997058824	0	0.968343195	0.978208556	0.99015411	3.05E+11	3.24E+11	5.94E+11	7.78E+11	1.13E+12	8.24E+15	7.25E+15	7.26E+15	7.73E+15	5.01E+15
b3719	eg11729	yiel																						
b0793	eg13675	ybhs		1	1.156688184		0.895025071	1.101905116																
b2504	eg14203	yfgg		1	0.812252396	0.993092495	0.965936329	0.47963206							1.41E+12		3.08E+12	3.15E+12						
b2752	eg10186	cysd	cysd sulfate adenylyltransferase	1		1.404444876	1.602139755	2.203810232	1	1.478339088	1.978704294	1.964555895	2.64744381	3.563308706	6.07E+11		1.83E+12	2.44E+12	4.85E+12	3.29E+15	2.09E+15	3.43E+15	3.22E+15	5.78E+15
b3994	eg11585	thic	thic hydroxymethylpyrimidine synthesis, for thiamine biosynthesis	1	1.222640278	1.366040257	1.433955248	1.580082624	1	1.615016742	2.731281462	2.320587808	2.913018452	3.273433946	4.80E+11	7.21E+11	1.20E+12	1.54E+12	2.15E+12	9.61E+14	1.69E+15	2.34E+15	9.18E+14	3.27E+15
b0715	eg13310	abrb																						
b0209	eg11650	yafd	yafd function unknown	1	0.763129604	0.726986259	0.697371833	0.624165274	1	0.821531504	0.794299837	0.737895394	0.683776987	0.698421352	4.33E+11	4.48E+11				2.01E+15	2.55E+15	2.15E+15	1.39E+15	1.81E+15
b3583	eg12287	yias		1	0.493116352	0.453759578	0.432268616																	
b4352	eg10021	yjia	yjia putative gtpase, binds gtp, function unknown	1	0.801069878	1.205807828	1.172834949	0.882702996	1	0.960543938	1.313367263	1.38173809	1.322941244	1.051562743				5.56E+11		4.76E+15	1.83E+15	1.75E+15	5.45E+14	2.65E+15
b3592	eg11762	yibf	yibf function unknown, glutathione s-transferase homolog	1	0.846745312	0.864537231	0.864537231	0.895025071	1	0.769150549	0.667078072	0.751756819	0.715032876	0.721530769	8.88E+11	1.10E+12	1.22E+12	1.69E+12	2.10E+12	9.78E+15	4.08E+15	5.92E+15	6.73E+15	5.94E+15
b3843	eg11396	ubid	ubid 3-octaprenyl-4-hydroxybenzoate carboxylyase	1	1.356604327	1.109569472	1.125058485	1.042465761	1	1.046326044	1.077702888	1.095357785	0.896330106	0.646391713	1.95E+11	4.17E+11	4.18E+11	4.77E+11	5.33E+11	1.23E+15	1.65E+15	1.86E+15	1.30E+15	1.27E+15
b4553	eg14400	ysab		1	0.979420298	0.920187651	0.952637998	0.846745312																
b3976	eg30102	thru																						
b1365	eg14296	ynak																						
b2825	eg11156	ppdb		1	0.959264119	0.678302164	0.707106781	0.77916458																
b3807	eg11653	cyay	cyay iron-dependent inhibitor of iron-sulfur cluster formation	1	0.570381858	0.77916458	0.747424624	0.673616788	1	0.871758325	0.776548771	0.820261043	0.852441656	0.937593924	8.83E+11		1.51E+12	1.76E+12		9.61E+15	5.67E+15		1.10E+16	9.32E+15
b1108	eg13434	ycfp	ycfp function unknown	1	0.77916458	0.795536484	0.852634892	0.823591017	1	0.806118155	0.665819326	0.725975214	0.683684114	0.715640764	1.36E+12	1.36E+12	2.14E+12	2.81E+12	3.69E+12	4.33E+15	1.87E+15	1.86E+15	5.17E+15	3.10E+15
b2598	eg11271	phel																						
b0822	eg13327	ybiv	ybiv sugar phosphatase	1			2.496661098	3.052518418	1	1.070906025	1.368684232	1.530137035	1.441066684	2.213351718						2.35E+15	2.20E+15	1.73E+15	3.22E+15	1.45E+15
b3445	eg60047																							
b3931	eg11881	hslu	hslu heat-inducible atp-dependent protease hslvu, atpase subunit	1	1.292352831	1.265756594	1.347233577	1.172834949	1	0.913798277	0.899924696	1.081727107	1.195709116	1.305167102	3.57E+11	5.72E+11	8.73E+11	1.01E+12	1.35E+12	4.54E+15	4.33E+15	5.57E+15	3.95E+15	3.51E+15
b1491	eg13794	yddw		1	0.574349177	1.071773463	1.064370182	0.933032992																
b2997	eg13006	hybo		1	0.959264119	0.784584098	0.752623374	0.742261785																
b2212	eg10037	alkb		1	1.257013375																1.28E+15			
b1618	eg12667	uidr	uidr transcriptional repressor for uidabc(gusabc)	1	1.717130873	1.00695555	0.939522749	1.140763716	1		1.13814312		0.997575709	1.001155063		7.04E+11				8.69E+14				
b3833	eg11473	ubie	ubie ubiquinone/menaquinone biosynthesis methyltransferase	1	1.035264924	1.180992661	1.164733586	1.214194884	1	1.130795204	1.114367816	1.092972595	1.151490513	1.173056807	5.69E+11	7.94E+11	1.38E+12	1.54E+12	2.16E+12	4.17E+15	5.24E+15	3.95E+15	4.45E+15	2.42E+15
b1174	eg10598	mine	mine blocks mincd inhibition of ftsz polymerization at cell center	1	1.265756594	1.189207115	1.148698355	1.064370182	1	0.919898224	0.83164557	0.855935004	0.846203984	0.795389846	1.62E+12	2.65E+12	3.94E+12	4.34E+12	5.02E+12	3.28E+16	3.32E+16	3.43E+16	3.16E+16	2.36E+16
b0742	eg12854	ybgf	ybgf binds tola	1	1.292352831	1.094293701	1.180992661	1.319507911	1	0.970529141	0.972603659	1.073181871	1.067236716	1.175944403	9.43E+11	2.56E+12	1.88E+12	2.42E+12	3.41E+12	4.64E+15	2.85E+15	4.09E+15	3.72E+15	4.29E+15
b1420	eg20260	mokb		1	0.752623374	0.289172046	0.203063099	0.082469244							1.14E+13	8.73E+12	7.94E+12	5.24E+12						
b3317	eg10865	rplb	rplb 50s ribosomal subunit protein l2	1	1.257013375	1.681792831	1.717130873	2.808889751	1	1.243530821	1.423745039	1.637697832	1.859647552	1.994947302	2.90E+12	6.17E+12	8.49E+12	1.40E+13	1.81E+13	2.11E+16	2.22E+16	1.66E+16	1.20E+16	1.97E+16
b1212	eg12424	prmc		1		1.385109468	1.257013375	1.635804117																
b3148	eg12779	yran		1	1.125058485	0.852634892	0.876605721	0.784584098							9.14E+11	1.02E+12	1.62E+12	1.86E+12	2.15E+12					
b1930	eg11661	yedf	yedf function unknown	1	0.926588062	0.901250463	0.697371833	0.301451957	1	1.329018554	1.400326407	1.221772152			2.54E+12	4.37E+12	4.42E+12	4.41E+12						
b2942	eg10589	metk	metk s-adenosylmethionine synthase	1		1.125058485	1.310393404	1.580082624	1	1.127677546	1.459572406	1.526539492	2.109220626	2.912844272	8.35E+11		1.85E+12	2.49E+12	4.12E+12	5.07E+15	3.11E+15	3.21E+15	3.22E+15	4.00E+15
b4680	eg14485	ypdk																						
b1226	eg10641	narj		1	1.101905116	0.882702996																		
b0750	eg10630	nada	nada quinolinate synthase, a protein	1	0.655196702	1.117287138	1.148698355	0.993092495	1	1.524435021	1.472658228	1.548158884	1.507736191	1.703416538	4.39E+11		9.51E+11	1.23E+12	1.33E+12	1.35E+15	1.64E+15	1.27E+15	1.68E+15	5.69E+14
b1730	eg13991	ydjo																						
b3124	eg11175	gark		1	0.817902059	0.678302164	0.628506687																	
b0356	eg50010	frma	frma glutathione-dependent formaldehyde dehydrogenase	1	0.823591017			1.274560627	1	1.044142453	0.788303715	0.865413852	0.795164638	0.772306258						9.82E+14	7.98E+14	8.66E+14	1.01E+15	9.61E+14
b4135	eg12176	yjdc	yjdc putative transcriptional repressor, function unknown	1	0.732042848	0.615572207	0.615572207	0.486327474	1	0.877454112	0.751862885	0.699356461	0.689827276	0.639700635	1.13E+12	1.16E+12	1.47E+12	1.76E+12	1.82E+12	5.89E+15	3.17E+15	5.03E+15	6.82E+15	4.30E+15
b1159	eg10573	mcra																						
b1908	eg11139	yeca	yeca function unknown	1	1.310393404	1.109569472	1.071773463	1.064370182	1	0.996221894	1.070749966	1.020305585	1.08553397	1.052834078	4.98E+11	8.89E+11	7.20E+11			9.88E+15	4.66E+15	9.82E+15	8.68E+15	8.30E+15
b3964	eg11395	yijd		1	1.094293701	0.737134609	0.602903914	0.408951029							1.24E+12	2.03E+12	1.88E+12	1.76E+12						
b2879	eg13062	ssna																						
b3627	eg11352	rfai	rfai udp-d-galactose: (glucosyl)lps-1,3-d-galactosyltransferase																	1.19E+15	6.93E+14			4.77E+14
b1817	eg10567	manx	manx mannose permease, eiiab component	1	2.070529848	2.37841423	1.972465409	0.482968164	1	1.409452474	1.78287921	1.973603517	1.562715263	0.826678976	1.29E+12	3.73E+12	5.49E+12	6.78E+12	2.35E+12	1.70E+16	1.25E+16	1.49E+16	1.27E+16	1.07E+16
b2564	eg10693	pdxj	pdxj pyridoxine 5'-phosphate (pnp) synthase	1	1.064370182	1.337927555	1.337927555	1.248330549	1	1.436054824	2.029980013	1.737929405	1.711890434	2.424297327	3.45E+11	5.99E+11	9.61E+11	1.13E+12	1.21E+12	3.52E+15	1.35E+15	1.30E+15	2.02E+15	1.70E+15
b3556	eg10166	cspa		1	9.646462622	1.172834949	1.248330549	7.674112955	1	1.670326	1.834165198	1.459330339	2.673052653	4.976767909						4.73E+15				5.62E+15
b3517	eg50009	gada	gada glutamate decarboxylase a	1	0.360982299	0.598739352	0.702222438	0.817902059	1	0.560229266	0	0.200187222	0.240487406	0.2558698	4.48E+11		5.68E+11	8.72E+11	1.17E+12		1.08E+16		5.51E+14	
b4272;b3044;b2861;b1997;b1403;b0360	eg40003	insc																						
b2269	eg14261	elad																						
b2178	eg12038	yejb		1	1.094293701	0.972654947	0.901250463	0.965936329															7.28E+14	
b1588	eg13844	ynff																						
b2933	eg11792	cmta		1	1.197478705	0.907519155	0.882702996																	
b4142	eg10600	gros	gros chaperonin cpn10	1	0.486327474	0.888842681	0.965936329	0.590496331	1	0.988578559	0.886354015	0.89325384	0.879732281	0.754871003	7.34E+12	5.64E+12	1.18E+13	1.71E+13	1.43E+13	1.95E+16	2.25E+16	1.41E+16	1.93E+16	1.20E+16
b3526	eg12253	kdgk	kdgk ketodeoxygluconokinase	1	0.598739352	1	1.021012126	0.790041312	1	1.054148231	1.059988117	1.009280529	1.014188874	0.932983652						1.93E+15	2.99E+15	3.28E+15	2.95E+15	1.83E+15
b0988	eg60022																							
b0184	eg10238	dnae	dnae dna polymerase iii, alpha subunit						1	1.169371382	0	1.155059427	1.1234152	1.134632241						3.71E+14	2.99E+14	2.55E+14	3.42E+14	2.71E+14
b2173	eg12104	yeir	yeir function unknown	1		0.946057647	1.01395948	1	1	1.093729851	0.739888454	0.773425793		1.094814232						4.95E+14	8.46E+14	4.04E+14		9.11E+14
b1380	eg13186	ldha	ldha d-lactate dehydrogenase, nad-dependent	1	0.840896415	1.231144413	1.197478705	0.870550563	1	0.961248734	1.226901003	1.015009816	0.922763243	0.867898294	2.59E+11		6.83E+11	7.01E+11		1.98E+15	9.77E+14	2.06E+15	1.51E+15	1.63E+15
b0818	eg13323	ybir		1	1.049716684		0.858565436																	
b3712	eg11722	yiee																						
b2682	eg13528	ygaz		1	0.882702996	1.602139755	1.536875181	1.526259209																
b1667	eg13952	ydhr	ydhr putative monooxygenase, function unknown	1	1.602139755	1.301341855	1.180992661	1.049716684	1	1.011965416	0.94411158	0.876821588	0.747910777	0.663880125	9.98E+11	3.20E+12	2.30E+12	1.93E+12	2.47E+12	1.69E+16	1.20E+16	1.63E+16	1.12E+16	1.56E+16
b2986	eg13004	yght																						
b0722	eg10934	sdhd		1	1.021012126	1.526259209	1.453972517	0.52123288	1	2.163689078	1.76811692	2.221339226	1.794810127	0.851122123	4.39E+12	8.12E+12	1.03E+13	1.33E+13	7.29E+12	3.16E+16	2.00E+16	3.34E+16	1.46E+16	1.19E+16
b0934	eg13705	ssuc																						
b2440	eg50007	eutc	eutc ethanolamine ammonia lyase, small subunit, adenosylcobalamine-dependent	1		0.901250463														5.71E+14		1.47E+14	3.78E+14	
b1949	eg11976	fliq		1	1.042465761	1.265756594	1.265756594	0.972654947																
b1836	eg14024	yebv	yebv function unknown	1	0.768437591	0.277392368	0.226879789	0.216134308	1	0.479001026	0.422273855	0.401333142	0.309873749	0.336464962						1.76E+16	9.05E+15	8.21E+15	7.82E+15	3.30E+16
b4077	eg10405	gltp		1	0.946057647	0.907519155		1.443929196																
b0923	eg11252	muke	muke chromosome condensin mukbef, muke subunit	1	1.180992661	0.965936329	0.993092495	0.946057647	1	1.001131918	0.970244495	0.812513177	0.872901781	0.863432514	4.22E+11	1.00E+12	7.80E+11	9.28E+11	1.13E+12	2.92E+15	5.72E+15	2.75E+15	3.43E+15	3.28E+15
b1464	eg11825	ydde	ydde function unknown	1	1.132883885	1.347233577	1.337927555	1.494849249	1		1.328570016	1.12395807	0.966521242	1.160736167						2.47E+15				
b3531	eg12258	bcsz		1		0.586417475	0.61985385	0.768437591																
b0577	eg12620	ybdg		1	1.172834949	1.301341855															4.89E+14			
b1595	eg13850	ynfl																						
b2475	eg14197	ypfj	ypfj function unknown	1	0.993092495	0.933032992	0.959264119	1.035264924	1	0.656752285	0.587474743	0.788900695	0.634988811	0.635631185	2.97E+11	4.55E+11	5.97E+11	7.02E+11	8.83E+11	1.57E+15	1.26E+15		1.07E+15	9.03E+14
b0914	eg10613	msba	msba lipid exporter to the outer membrane	1	1.283425898	1.319507911	1.337927555	1.569168196	1	1.016967564	1.080074593	1.011681913	1.0634394	0.957040771						1.25E+15	1.59E+15	1.73E+15	9.13E+14	7.80E+14
b1222	eg10646	narx																						
b2140	eg12022	dusc		1		0.801069878	0.882702996	0.901250463												4.63E+14				
b2779	eg10258	eno	eno enolase	1		1.086734863	1.164733586	1.404444876	1	0.854242469	0.779921314	0.886673204	0.967335785	1.207227213	1.72E+12		3.05E+12	4.57E+12	7.26E+12	4.23E+16	4.00E+16	4.47E+16	3.71E+16	4.31E+16
b2324	eg14114	mnmc	mnmc bifunctional 5-methylaminomethyl-2-thiouridine forming enzyme	1	0.888842681															3.80E+14				
b1488	eg13791	ddpx		1	1.205807828	0.423372656	0.295248165	0.185565446							6.39E+11	9.66E+11								
b2070	eg14052	yegi																						
b3164	eg10743	pnp	pnp polynucleotide phosphorylase	1	1.536875181	1.01395948	0.933032992	1.094293701	1	1.114244145	1.010853288	1.158147994	1.072419362	1.016504503	5.95E+11	2.01E+12	8.80E+11	1.04E+12	1.35E+12	1.40E+16	1.55E+16	1.40E+16	1.23E+16	1.25E+16
b0031	eg10206	dapb	dapb dihydrodipicolinate reductase	1	0.946057647	1.494849249	1.8276629	2.602683711	1	1.050102716	1.101823608	1.279663612	1.251814469	2.271250131	3.82E+11	4.39E+11	5.81E+11	9.02E+11	1.58E+12	3.10E+15	4.44E+15	6.68E+15	1.97E+15	1.56E+15
b0151	eg10304	fhuc	fhuc abc transporter atpase, fe(3+)-ferrichrome uptake																		7.98E+14		1.37E+15	7.69E+14
b0369	eg10428	hemb	hemb 5-aminolevulinate dehydratase						1	1.288038712	1.491708704	1.085995857	0.757309672	1.498579327						7.67E+14	1.57E+15	6.78E+14	1.30E+15	7.78E+14
b1911	eg30039	glyw																						
b3954	eg11913	yijo		1	0.716977624	1.028113827	0.946057647	0.846745312																
b1937	eg11346	flie		1				0.659753955																
b0850	eg12842	ybjc		1	0.801069878			0.91383145																
b3457	eg10538	livh		1	1.515716567	1.301341855	1.301341855	1.301341855							4.18E+11	8.14E+11	9.77E+11	1.17E+12	1.25E+12					
b4303	eg12555	sgcq	sgcq putative gene in sgc gene cluster, function unknown	1	0.979420298	0.234880687	0.074842419	0.06515411	1	1.14616806	0.772340062	0.139757514	0.374589053	1.589823357	5.63E+11	9.06E+11				4.08E+15	5.30E+15	2.17E+15	3.10E+15	2.77E+15
b4109	eg11210	yjda	yjda function unknown	1	1.248330549	1.140763716	1.140763716	0.959264119	1				2.026884277	1.282751878								2.29E+14		
b0998	eg12195	tord																						
b0763	eg12427	moda	moda molybdate uptake	1	1.624504793	1.148698355	1.021012126	0.668963777	1	1.117294927	1.109465332	1.165901238	1.217304343	0.872826606	3.65E+11	8.09E+11	9.21E+11	9.98E+11		4.95E+14	1.85E+15	9.60E+14	2.29E+15	1.43E+15
b2573	eg11897	rpoe	rpoe rna polymerase subunit, extracytoplasmic stress sigma e	1	0.594603558	0.234880687	0.20877198	0.198884121	1	0.877352674	0.800492215	0.815215835	0.74518249	0.807202768	4.17E+12	4.85E+12	1.67E+12	1.73E+12	2.11E+12	3.97E+15	2.62E+15	3.82E+15	3.99E+15	3.14E+15
b1565	eg13834	ydfv																						
b3017	eg11376	ftsp	ftsp division component that protects the divisome from stress	1		0.829319546	0.858565436	0.876605721	1	0.981646953	1.139021372	0.90650384		0.78137419						1.74E+14	1.25E+15		1.29E+15	5.19E+14
b1988	eg14265	nac																						
b3484	eg11525	yhhi																						
b2158	eg12027	yeih		1	0.712025098																			
b1294	eg20254	sapa	sapa putative periplasmic binding protein, function unknown	1	1.079228237	0.959264119	0.901250463	1.094293701	1	0.845275591	0.900634841	0.870139298	0.846330074	0.742900238						4.84E+14	4.59E+14	3.37E+14	8.53E+14	1.57E+14
b2471	eg11147	yffb	yffb function unknown, low abundance protein						1	1.131546205	1.152140245	1.087975883	1.072930572	1.210626491						1.06E+16	3.17E+15	4.73E+15	4.91E+15	5.80E+15
b4384	eg10222	deod	deod purine nucleoside phosphorylase	1	0.858565436	1.156688184	1.156688184	0.972654947	1	1.159958595	1.269208283	1.165881021	1.334426113	0.990056438						1.07E+16	8.63E+15	9.25E+15	7.21E+15	7.10E+15
b3325	eg12890	gspd																						
b2310	eg10072	argt	argt periplasmic lys-, arg-, and orn-binding protein	1	0.61985385	0.41754396	0.255253031	0.119908015	1	0.859406236	0.632404049	0.443104231	0.459328688	0.172703963	3.35E+12	2.80E+12	2.79E+12	1.97E+12	1.29E+12	8.93E+15	5.71E+15	5.91E+15	7.99E+15	4.45E+15
b0168	eg10570	map	map methionine aminopeptidase	1	0.959264119	1.602139755	1.765405993	1.892115293	1	1.160488806	1.242166243	1.355879392	1.439407332	1.833045827	4.56E+11	5.34E+11	1.43E+12	1.71E+12	2.46E+12	5.94E+15	1.07E+16	4.31E+15	5.67E+15	9.03E+15
b1207	eg10774	prs	prs phosphoribosylpyrophosphate synthase	1	0.650670928	0.979420298	0.993092495	0.986232704	1	1.192009246	1.30818195	1.269034017	1.259585466	1.341595645	1.44E+12	1.31E+12	2.46E+12	3.17E+12	4.20E+12	2.58E+16	2.88E+16	2.10E+16	1.60E+16	1.84E+16
